produto,quantidade,preco_unitario,data
Camiseta,3,49.90,2025-01-15
Calça,2,99.90,2025-01-20
Camiseta,1,49.90,2025-02-03
Tênis,1,199.90,2025-02-10
Camiseta,2,49.90,2025-02-18
Calça,1,99.90,2025-03-01
Bermuda,4,59.90,2025-03-12
Tênis,2,199.90,2025-03-25
Camiseta,1,49.90,2025-04-05
Boné,3,29.90,2025-04-22
Meia,6,12.90,2025-05-02
Jaqueta,1,249.90,2025-05-15
Moletom,2,159.90,2025-06-08
Cinto,2,45.90,2025-06-19
Camisa Social,3,79.90,2025-07-01
Vestido,1,189.90,2025-07-14
Saia,2,89.90,2025-08-03
Blusa,4,39.90,2025-08-20
Regata,5,25.90,2026-08-02
Casaco,1,219.90,2025-09-17
Camisa Polo,3,69.90,2025-10-06
Legging,3,59.90,2025-10-21
Shorts,2,49.90,2025-11-04
Chinelo,4,34.90,2025-11-18
Sandália,1,109.90,2025-12-01
